open,high,low,close,open,high,low,close,open,high,low,close,open,high,low,close,open,high,low,close,open,high,low,close
1.09196,1.09496,1.0907,1.09236,1.48326,1.4854,1.47984,1.4820799999999998,1.43278,1.4354,1.4313200000000001,1.43296,1.07114,1.07402,1.07107,1.07386,0.7038399999999999,0.70633,0.70315,0.7036399999999999,1.66547,1.6696400000000002,1.66272,1.66546
1.0924,1.09755,1.08588,1.08596,1.4821600000000001,1.48399,1.47584,1.4780799999999998,1.43296,1.43426,1.42619,1.4317,1.07388,1.0757,1.07172,1.07324,0.70362,0.70634,0.7016100000000001,0.7018,1.66547,1.6670200000000002,1.65725,1.66282
1.08594,1.09785,1.08554,1.0959,1.4779799999999998,1.48225,1.47574,1.48058,1.43166,1.4402,1.42846,1.43974,1.07326,1.0767799999999998,1.07266,1.0764200000000002,0.70177,0.70953,0.7017,0.70808,1.6628,1.66362,1.6543400000000001,1.66057
1.0959,1.09744,1.09558,1.0966200000000002,1.4805,1.48164,1.47726,1.47815,1.43974,1.44121,1.43812,1.44029,1.0764,1.0788200000000001,1.0762,1.07844,0.70806,0.7087600000000001,0.70732,0.7078,1.6605599999999998,1.6611799999999999,1.6531799999999999,1.65556
1.0965799999999999,1.0968200000000001,1.09511,1.09532,1.47896,1.48214,1.47834,1.48186,1.43874,1.44134,1.43838,1.44076,1.07641,1.0786,1.07641,1.07806,0.70785,0.70798,0.70736,0.70736,1.6572799999999999,1.6602,1.6569099999999999,1.6586
1.09528,1.09742,1.09504,1.09732,1.4818200000000001,1.4834200000000002,1.48106,1.4828,1.44076,1.44234,1.44034,1.44207,1.07808,1.0789799999999998,1.0780299999999998,1.07844,0.70734,0.70854,0.70722,0.7084199999999999,1.6585599999999998,1.66019,1.6558599999999999,1.6594799999999998
1.09733,1.09814,1.09571,1.09645,1.48284,1.4897799999999999,1.48185,1.48831,1.44207,1.44602,1.4396,1.44454,1.07846,1.07873,1.0761,1.0767,0.70844,0.70968,0.70732,0.70867,1.6594799999999998,1.6704700000000001,1.65828,1.6690200000000002
1.09647,1.0971,1.09254,1.09504,1.48824,1.48924,1.4842600000000001,1.48745,1.44455,1.44509,1.43736,1.43877,1.07673,1.08084,1.07605,1.0804,0.7087,0.70904,0.70598,0.70598,1.66904,1.6695799999999998,1.6631200000000002,1.66632
1.09504,1.10356,1.09386,1.10247,1.48745,1.48908,1.48365,1.4859200000000001,1.4388,1.44074,1.43261,1.43492,1.0804,1.08418,1.0804,1.08345,0.70601,0.7075,0.70526,0.70696,1.6663400000000002,1.6683400000000002,1.66313,1.6654
1.1025,1.10415,1.10127,1.10186,1.48594,1.48864,1.4855,1.48638,1.43492,1.4373,1.4320700000000002,1.43267,1.08348,1.08398,1.0828,1.08376,0.70694,0.70815,0.70619,0.7067100000000001,1.6653900000000001,1.66813,1.6634400000000003,1.66465
1.1021100000000001,1.10324,1.1013899999999999,1.10312,1.48675,1.48728,1.48288,1.4842600000000001,1.43319,1.43458,1.4325,1.43449,1.08382,1.0839299999999998,1.0831,1.08354,0.7068,0.7072,0.70668,0.70716,1.66514,1.6684,1.6629200000000002,1.66438
1.10309,1.10309,1.09694,1.09772,1.48433,1.5013,1.4838200000000001,1.4995399999999999,1.43444,1.4379600000000001,1.43355,1.4353200000000002,1.08352,1.08358,1.0805799999999999,1.08094,0.70714,0.70725,0.7046600000000001,0.7051,1.66438,1.67822,1.6635099999999998,1.6750599999999998
1.09775,1.1049200000000001,1.09607,1.1038,1.49952,1.50536,1.49726,1.50404,1.43534,1.43794,1.4318600000000001,1.4378799999999998,1.08092,1.08459,1.0773,1.0844799999999999,0.70512,0.70796,0.70392,0.70739,1.6750599999999998,1.6855200000000001,1.67344,1.6837900000000001
1.10376,1.1073,1.10192,1.10725,1.5039799999999999,1.51234,1.50316,1.5117399999999999,1.4378799999999998,1.44888,1.43729,1.4485700000000001,1.08446,1.08724,1.08425,1.0866,0.70735,0.7108,0.70672,0.71068,1.6837799999999998,1.6899400000000002,1.6813799999999999,1.6887400000000001
1.10725,1.10886,1.1010799999999998,1.1019,1.5117399999999999,1.5182799999999999,1.51132,1.51132,1.44855,1.4539799999999998,1.44644,1.4468299999999998,1.0866,1.0921,1.08604,1.08986,0.71068,0.7117399999999999,0.7076399999999999,0.7076600000000001,1.6887299999999998,1.69412,1.6867599999999998,1.68766
1.1019299999999999,1.10446,1.10182,1.10422,1.5114,1.5142799999999998,1.51122,1.51178,1.44684,1.4493,1.44648,1.4482,1.08989,1.09182,1.0889799999999998,1.09115,0.70768,0.70918,0.7076600000000001,0.70908,1.68767,1.69092,1.6869599999999998,1.6895799999999999
1.1042399999999999,1.10484,1.10372,1.10406,1.5120200000000001,1.51244,1.50845,1.50932,1.44823,1.44834,1.4453200000000002,1.4455,1.0911799999999998,1.09174,1.09047,1.09096,0.70902,0.70922,0.70836,0.70843,1.6894799999999999,1.6895900000000001,1.6841599999999999,1.68622
1.10406,1.1075,1.10243,1.10735,1.50924,1.53006,1.50739,1.53004,1.4455,1.4553399999999999,1.44471,1.4552100000000001,1.09094,1.0928,1.0898,1.09134,0.70841,0.71192,0.70833,0.71162,1.6862400000000002,1.7077200000000001,1.68402,1.7069
1.1073600000000001,1.11576,1.10691,1.11306,1.5300799999999999,1.53021,1.5202799999999999,1.52662,1.4552200000000002,1.45794,1.4514200000000002,1.45675,1.09136,1.09616,1.08883,1.0911799999999998,0.7116399999999999,0.7170300000000001,0.71085,0.7148,1.7068900000000002,1.70695,1.69088,1.69728
1.11303,1.11786,1.11236,1.11466,1.5265,1.52857,1.51096,1.51616,1.45675,1.4573200000000002,1.4461600000000001,1.44833,1.0911600000000001,1.09164,1.0850799999999998,1.08633,0.71478,0.71524,0.7136,0.7136600000000001,1.6973,1.69882,1.68281,1.6916
1.11463,1.1213899999999999,1.11428,1.11752,1.5162,1.5221799999999999,1.51366,1.51366,1.44834,1.45486,1.4478799999999998,1.4496200000000001,1.08633,1.08746,1.0841399999999999,1.08505,0.7136600000000001,0.7166,0.71344,0.71428,1.6916099999999998,1.69504,1.6838,1.6838400000000002
1.11758,1.11876,1.11581,1.11604,1.5136,1.51652,1.5116399999999999,1.51245,1.4496200000000001,1.4525299999999999,1.44825,1.44862,1.08507,1.08946,1.08507,1.08844,0.7143,0.71544,0.7143,0.7148399999999999,1.6838400000000002,1.6902400000000002,1.68377,1.6856200000000001
